Katowice,2710397
Warszawa,2660406
Kraków,1264322
Łódź,1163516
Gdańsk,1105203
Wrocław,1031439
Poznań,1018511
Bydgoszcz,878314
Szczecin,777806
Lublin,652642
Białystok,523958
Częstochowa,466 735
Kalisz,409307
Kielce,406922
Radom,371995
Rzeszów,331465
Olsztyn,286290
Opole,263934
Płock,233696
Zielona Góra,207451
Gorzów,190251
Koszalin,171469
Nowy Sącz,158620
Konin,143305
Bielsko-Biała,584000
Rybnik,525000
Tarnów,269000
Wałbrzych,248000
